Item name,Item Seq,Item Number,NLU Group,NLU Number,Price Group,Price Group Seq,Price Tier,Price Tier Seq,Price Seq,Price 1,Price 2,Price 3,Price 4,Price 5,Price 6,Price 7,Price 8,Price 9,Price 10,Cost 1,Cost 2,Cost 3,Cost 4,Cost 5,Cost 6,Cost 7,Cost 8,Cost 9,Cost 10,Menu Board Price 1,Menu Board Price 2,Menu Board Price 3,Menu Board Price 4,Menu Board Price 5,Menu Board Price 6,Menu Board Price 7,Menu Board Price 8,Menu Board Price 9,Menu Board Price 10,Tare,Surcharge tax,Effective from,Effective to,Cross Reference 1,Cross Reference 2,Combo Group
"coco shr 4pk",207880,200022,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194909,40.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"coco shr 8pk",207881,201022,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195014,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Zucchini 4pk",207892,200023,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194914,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Zucchini 8pk",207893,201023,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195019,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Avocado*",207977,202814,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195084,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Baja 4pk",207265,200001,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194814,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Carnitas 4pk",207266,200002,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194819,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chicken 4pk",207267,200003,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194824,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Cauli 4pk",207269,200005,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194829,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Falafel 4pk",207270,200006,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194834,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Oyster 4pk",207272,200008,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194839,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Belly 4pk",207273,200009,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194844,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Tuna 4pk",207274,200010,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194849,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Ribeye 4pk",207275,200011,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194854,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Duck 4pk",207276,200012,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194859,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Avocado 4pk",207277,200013,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194864,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Baja 8pk",207278,201001,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194919,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Carnitas 8pk",207279,201002,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194924,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brisket 4pk",207448,200015,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194874,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chicken 8pk",207280,201003,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194929,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brisket 8pk",207449,201015,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194979,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Cauli 8pk",207282,201005,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194934,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Falafel 8pk",207283,201006,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194939,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Oyster 8pk",207285,201008,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194944,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Belly 8pk",207286,201009,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194949,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Tuna 8pk",207287,201010,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194954,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Ribeye 8pk",207288,201011,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194959,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Duck 8pk",207289,201012,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194964,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Avocado 8pk",207290,201013,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194969,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Shrimp 4pk",207382,200014,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194869,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Shrimp 8pk",207383,201014,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194974,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Mushroom 4pk",207467,200016,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194879,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Mushroom 8pk",207468,201016,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194984,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Chicken",207715,202802,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195024,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Ribeye",207716,202803,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195029,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Baja Fish",207717,202804,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195034,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Belly",207718,202805,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195039,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Mushroom",207719,202806,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195044,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chorizo 4pk",207555,200017,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194884,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chorizo 8pk",207556,201017,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194989,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Duck",207720,202807,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195049,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Chorizo",207721,202808,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195054,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Tuna",207722,202809,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195059,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Carnitas",207723,202810,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195064,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Oyster",207725,202812,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195074,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Shrimp",207726,202813,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195079,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Crab 4pk",207566,200018,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194889,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Crab 8pk",207567,201018,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194994,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 4pk",207819,200020,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194899,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brussels 4pk",207577,200019,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194894,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brussels 8pk",207578,201019,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194999,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 8pk",207820,201020,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195004,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 4pk",207828,200021,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,194904,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 8pk",207829,201021,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195009,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Lamb",207833,202811,,,"16 Rails Juicer Test Food",18,"3 Port Chester",236,195069,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Duck",207720,202807,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195050,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Chorizo",207721,202808,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195055,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Tuna",207722,202809,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195060,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Carnitas",207723,202810,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195065,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Oyster",207725,202812,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195075,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Shrimp",207726,202813,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195080,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Crab 4pk",207566,200018,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194890,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Crab 8pk",207567,201018,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194995,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 4pk",207819,200020,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194900,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brussels 4pk",207577,200019,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194895,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brussels 8pk",207578,201019,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195000,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 8pk",207820,201020,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195005,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 4pk",207828,200021,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194905,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 8pk",207829,201021,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195010,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Lamb",207833,202811,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195070,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"coco shr 4pk",207880,200022,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194910,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"coco shr 8pk",207881,201022,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195015,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Zucchini 4pk",207892,200023,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194915,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Zucchini 8pk",207893,201023,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195020,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Avocado*",207977,202814,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195085,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Baja 4pk",207265,200001,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194815,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Carnitas 4pk",207266,200002,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194820,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chicken 4pk",207267,200003,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194825,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Cauli 4pk",207269,200005,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194830,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Falafel 4pk",207270,200006,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194835,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Oyster 4pk",207272,200008,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194840,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Belly 4pk",207273,200009,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194845,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Tuna 4pk",207274,200010,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194850,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Ribeye 4pk",207275,200011,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194855,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Duck 4pk",207276,200012,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194860,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Avocado 4pk",207277,200013,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194865,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Baja 8pk",207278,201001,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194920,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Carnitas 8pk",207279,201002,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194925,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brisket 4pk",207448,200015,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194875,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chicken 8pk",207280,201003,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194930,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brisket 8pk",207449,201015,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194980,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Cauli 8pk",207282,201005,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194935,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Falafel 8pk",207283,201006,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194940,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Oyster 8pk",207285,201008,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194945,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Belly 8pk",207286,201009,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194950,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Tuna 8pk",207287,201010,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194955,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Ribeye 8pk",207288,201011,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194960,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Duck 8pk",207289,201012,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194965,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Avocado 8pk",207290,201013,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194970,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Shrimp 4pk",207382,200014,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194870,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Shrimp 8pk",207383,201014,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194975,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Mushroom 4pk",207467,200016,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194880,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Mushroom 8pk",207468,201016,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194985,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Chicken",207715,202802,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195025,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Ribeye",207716,202803,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195030,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Baja Fish",207717,202804,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195035,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Belly",207718,202805,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195040,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Mushroom",207719,202806,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,195045,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chorizo 4pk",207555,200017,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194885,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chorizo 8pk",207556,201017,,,"16 Rails Juicer Test Food",18,"4 Stamford",237,194990,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brisket 8pk",207449,201015,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194981,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Cauli 8pk",207282,201005,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194936,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Falafel 8pk",207283,201006,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194941,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Oyster 8pk",207285,201008,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194946,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Belly 8pk",207286,201009,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194951,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
